atom_number,atom_id,atom_name,collection_number,series_number,series_id,series_name,proposed_hero_grade,review_lane,signoff_status,ingest_readiness,dominant_verb_seed,counterforce_type_seed,semantic_neutrality_seed,resolution_class_seed,memory_trace_type_seed,approved_for_navicue,approved_for_journey,approved_for_insight,approved_for_practice,structural_score,triage_tier,heat_fit,navicue_fit,journey_fit,insight_fit,practice_fit,repetition_cluster_size,refinement_priority,refinement_reasons,matching_tags,signoff_notes,manual_hero_grade,manual_override_reason,reviewer,reviewed_at
449,origami-tension,The Origami Tension Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,redirect,distortion,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,35,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:swipe | job:identity | job:perspective | job:release | physics:gravitational | physics:network | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
450,master-net-print,The Master Net Engine,5,45,tesseract-geometry,The Tesseract,playable,composition-pass,seeded,hold,hold,paradox,high,seal,closure,review,review,review,yes,6,composition-sensitive,high-heat,medium,medium,medium,high,5,medium,"Quality likely depends on stronger composition, scale, and payoff.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:identity | job:perspective | job:release | physics:gravitational | physics:optical | physics:topological | resolution:seal | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Ready for manual curation pass.,,,,
451,polarized-lens,The Polarized Lens Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:focus | job:perspective | physics:optical | physics:subtractive | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
452,negative-space-reveal,The Negative Space Reveal Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,reshape,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,30,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:agency | job:focus | job:perspective | physics:optical | physics:subtractive | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
453,redaction-burn,The Redaction Burn Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,hold,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,high-heat,medium,high,high,high,28,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:high-heat | input:hold | job:agency | job:focus | job:perspective | physics:optical | physics:subtractive | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
454,camouflage-parallax,The Camouflage Parallax Engine,5,46,optical-blind-spot,The Blind Spot,hero-grade,hero-pass,seeded,curation-ready,tilt,distortion,high,field-recompose,reorientation,yes,yes,yes,review,8,hero-candidate,low-heat,high,high,high,medium,7,low,,complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-high | fit:practice-medium | heat:low-heat | input:tilt | job:agency | job:focus | job:perspective | physics:network | physics:optical | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:tilt | sensor:visual,Seeded from structural audit. hero-pass with proposed grade hero-grade. Ready for manual curation pass.,,,,
455,macula-peripheral,The Macula Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:focus | job:perspective | physics:network | physics:optical | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
456,chromatic-filter,The Chromatic Filter Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:focus | job:perspective | physics:optical | physics:subtractive | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
457,focal-length-shift,The Focal Length Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,clear,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:scrub | job:focus | job:perspective | job:regulation | physics:network | physics:optical | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
458,uv-revelation,The UV Revelation Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:focus | job:perspective | physics:optical | physics:subtractive | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
459,mirror-flip-hypocrisy,The Mirror Flip Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,review,review,yes,6,composition-sensitive,low-heat,medium,medium,medium,high,59,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-medium | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:agency | job:focus | job:perspective | physics:optical | physics:subtractive | physics:thermal | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
460,ego-strip,The Ego Strip Engine,5,46,optical-blind-spot,The Blind Spot,playable,composition-pass,seeded,hold,reshape,distortion,high,field-recompose,reorientation,review,review,yes,yes,6,composition-sensitive,low-heat,medium,medium,high,high,12,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-medium | fit:navicue-medium | fit:practice-high | heat:low-heat | input:pinch | job:agency | job:focus | job:perspective | physics:network | physics:optical | physics:subtractive | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
461,perfect-symmetry,The Perfect Symmetry Engine,5,47,mirror-world,The Mirror World,playable,composition-pass,seeded,hold,guide,distortion,high,field-recompose,reorientation,review,yes,yes,yes,7,composition-sensitive,low-heat,medium,high,high,high,87,high,"Quality likely depends on stronger composition, scale, and payoff. | Over-represented interaction signature risks sameness.",complexity:simple | fit:insight-high | fit:journey-high | fit:navicue-medium | fit:practice-high | heat:low-heat | input:drag | job:boundary | job:identity | job:perspective | physics:acoustic | physics:fluid | physics:optical | resolution:field-recompose | sensor:haptics | sensor:touch | sensor:visual,Seeded from structural audit. composition-pass with proposed grade playable. Manual review required before ingest because refinement priority is high.,,,,
